|                        Parameters |      0 |        1 |   2 |                      3 |   4 |       5 |   6 |      7 |      8 |     9 |  10 |     11 |                    12 |
|     eHWC J1825-134.spectral.index | 0.0036 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
| eHWC J1825-134.spectral.amplitude |    0.0 | 2.25e-28 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
| eHWC J1825-134.spectral.reference |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
|   eHWC J1825-134.spectral.lambda_ |    0.0 |      0.0 | 0.0 | 1.0400234987531634e-05 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
|     eHWC J1825-134.spectral.alpha |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
| eHWC J1907+063.spectral.amplitude |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 | 2.5e-29 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
| eHWC J1907+063.spectral.reference |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
|     eHWC J1907+063.spectral.alpha |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 | 0.0009 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
|      eHWC J1907+063.spectral.beta |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 | 0.0004 |   0.0 | 0.0 |    0.0 |                   0.0 |
| eHWC J2019+368.spectral.amplitude |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 | 9e-30 | 0.0 |    0.0 |                   0.0 |
| eHWC J2019+368.spectral.reference |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 |                   0.0 |
|     eHWC J2019+368.spectral.alpha |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 | 0.0036 |                   0.0 |
|      eHWC J2019+368.spectral.beta |    0.0 |      0.0 | 0.0 |                    0.0 | 0.0 |     0.0 | 0.0 |    0.0 |    0.0 |   0.0 | 0.0 |    0.0 | 0.0025000000000000005 |
