|                           Parameters |                     0 |   1 |   2 |   3 |                      4 |   5 |   6 |   7 |                     8 |   9 |  10 |  11 |
| LHAASO J1825-1326.spectral.amplitude | 6.638420272655454e-30 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J1825-1326.spectral.reference |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J1825-1326.spectral.alpha |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J1825-1326.spectral.beta |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J1908+0621.spectral.amplitude |                   0.0 | 0.0 | 0.0 | 0.0 | 1.6711119873310683e-30 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J1908+0621.spectral.reference |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J1908+0621.spectral.alpha |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J1908+0621.spectral.beta |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2226+6057.spectral.amplitude |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 8.794757459422933e-31 | 0.0 | 0.0 | 0.0 |
| LHAASO J2226+6057.spectral.reference |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2226+6057.spectral.alpha |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J2226+6057.spectral.beta |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |
